Купон;Фирма;"Дата окончания";Активность
800577-2624-6335;Биглин;12.09.2013;Активен
2563-3344-4564-4627;Групон;06.10.2013;Активен
3750-6232-6077-2461;Групон;06.10.2013;"Не активен"
4498-6220-6447-1755;Групон;06.10.2013;Активен
2838-4714-5956-6164;Групон;06.10.2013;Активен
1301-7620-9385-5844;Групон;06.10.2013;"Не активен"
6919-7344-8015-4452;Групон;06.10.2013;Активен
4222-9793-6627-1144;Групон;06.10.2013;Активен
9241-7373-5503-8576;Групон;06.10.2013;Активен
6509-5989-9424-7905;Групон;06.10.2013;Активен
3056-7050-9671-2786;Групон;06.10.2013;Активен
1413-7459-2026-1377;Групон;06.10.2013;Активен
3453-4563-4574-2342;;06.10.2013;Активен
3750-6232-6077-2461;Групон;06.10.2013;"Не активен"
2563-3344-4564-4627;Групон;06.10.2013;Активен
4498-6220-6447-1755;Групон;06.10.2013;Активен
4222-9793-6627-1144;Групон;06.10.2013;Активен
2838-4714-5956-6164;Групон;06.10.2013;Активен
1301-7620-9385-5844;Групон;06.10.2013;"Не активен"
6919-7344-8015-4452;Групон;06.10.2013;Активен
9241-7373-5503-8576;Групон;06.10.2013;Активен
6509-5989-9424-7905;Групон;06.10.2013;Активен
3056-7050-9671-2786;Групон;06.10.2013;Активен
1413-7459-2026-1377;Групон;06.10.2013;Активен
3453-4563-4574-2342;;06.10.2013;Активен
1231-2344-5435-2345;Биглион;20.10.2013;Активен
1231-2344-5435-2345;Биглион;20.10.2013;Активен
800577-2624-6335;Биглин;12.09.2013;Активен
Купон;Фирма;"""Дата окончания""";"Не активен"
2859-6316-4942-1835;;06.10.2013;Активен
3937-8479-1669-2285;;06.10.2013;Активен
4083-8094-8574-5107;;06.10.2013;Активен
9204-9940-6813-8334;;06.10.2013;Активен
2706-5301-9042-5496;;06.10.2013;Активен
8494-7956-5418-3625;;06.10.2013;Активен
9976-9188-8596-5252;;06.10.2013;Активен
4058-4777-8733-8408;;06.10.2013;Активен
1146-4005-9486-6625;;06.10.2013;Активен
7145-2652-1010-6934;;06.10.2013;Активен
5463-1001-4962-2866;;06.10.2013;Активен
